기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2021,4,A,골목상권,2110286,한성대입구역 5번,133,7,3,NA,NA,11,4,1,2,4,11,NA,NA,NA,NA,NA,NA,NA,1,30
2021,4,A,골목상권,2110287,정릉3동주민센터,80,3,1,NA,NA,1,NA,1,3,1,25,NA,NA,NA,NA,NA,NA,NA,NA,26
2021,4,A,골목상권,2110288,동구여중,125,4,3,NA,NA,9,3,NA,4,3,11,NA,NA,NA,NA,NA,NA,NA,1,31
2021,4,A,골목상권,2110289,북한산보국문역 2번,157,11,4,NA,NA,12,NA,1,3,1,9,NA,NA,NA,NA,NA,NA,NA,1,57
2021,4,A,골목상권,2110290,북한산보국문역 1번,79,8,1,NA,NA,4,1,NA,NA,2,12,NA,NA,NA,NA,NA,NA,NA,1,29
2021,4,A,골목상권,2110291,한성대입구역 3번,145,4,5,NA,NA,12,NA,2,1,3,25,NA,NA,NA,NA,NA,NA,NA,1,39
2021,4,A,골목상권,2110292,정릉역 2번,90,5,3,NA,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39
2021,4,A,골목상권,2110293,삼선중학교,173,5,9,NA,NA,20,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,41
2021,4,A,골목상권,2110294,서경대학교,130,6,4,NA,NA,13,2,1,NA,2,13,NA,NA,NA,NA,NA,NA,NA,1,37
2021,4,A,골목상권,2110295,정릉우체국,144,7,5,NA,NA,17,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,53
2021,4,A,골목상권,2110296,성신여대입구역 4번,156,5,7,NA,1,14,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,39
2021,4,A,골목상권,2110297,경동고등학교,172,8,5,NA,NA,20,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,47
2021,4,A,골목상권,2110298,솔숲어린이공원,70,4,2,NA,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22
2021,4,A,골목상권,2110299,정릉역 1번,153,4,5,NA,NA,16,4,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,54
2021,4,A,골목상권,2110300,삼선동주민센터,192,5,8,1,NA,15,1,2,1,1,24,NA,NA,NA,NA,NA,NA,NA,4,45
2021,4,A,골목상권,2110301,성신여대입구역 7번,147,1,4,NA,1,15,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25
2021,4,A,골목상권,2110302,보문역 8번,66,3,3,NA,NA,5,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,12
2021,4,A,골목상권,2110303,성신여대입구역 1번,160,1,4,1,1,13,3,1,4,2,22,NA,NA,NA,NA,NA,NA,NA,3,28
2021,4,A,골목상권,2110304,보문역 4번,139,5,5,1,NA,7,NA,1,1,2,35,NA,NA,NA,NA,NA,NA,NA,3,33
2021,4,A,골목상권,2110305,보문역 5번,125,5,5,1,NA,7,NA,1,NA,1,34,NA,NA,NA,1,NA,NA,NA,3,24
2021,4,A,골목상권,2110306,미아초등학교,66,2,1,NA,NA,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
2021,4,A,골목상권,2110307,길음역 7번,100,3,4,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,27
2021,4,A,골목상권,2110308,길음역 8번,133,7,2,NA,1,15,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,35
2021,4,A,골목상권,2110309,대광초등학교,90,4,4,NA,1,5,NA,1,1,1,23,NA,NA,NA,1,NA,NA,NA,NA,16
2021,4,A,골목상권,2110310,길음역 10번,84,4,NA,NA,1,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22
2021,4,A,골목상권,2110311,종암아이파크2차후문,34,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2021,4,A,골목상권,2110312,안암역 2번,133,1,5,1,1,8,NA,NA,NA,1,72,NA,NA,NA,NA,NA,NA,NA,2,23
2021,4,A,골목상권,2110313,안암역 3번,164,3,6,1,2,12,NA,1,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,2,33
2021,4,A,골목상권,2110314,종암경찰서,132,8,2,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,38
2021,4,A,골목상권,2110315,종암아이파크2차,105,6,2,NA,1,11,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
2021,4,A,골목상권,2110316,숭곡초등학교,214,5,4,NA,3,25,1,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,50
2021,4,A,골목상권,2110317,종암중학교,98,3,2,NA,NA,3,1,1,2,1,37,NA,NA,NA,NA,NA,NA,NA,1,30
2021,4,A,골목상권,2110318,KT월곡지사,121,3,2,NA,1,19,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,25
2021,4,A,골목상권,2110319,종암동주민센터,100,7,1,NA,1,14,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
2021,4,A,골목상권,2110320,KB국민은행 종암동지점,78,2,2,NA,1,4,1,1,1,1,30,NA,NA,NA,NA,NA,NA,NA,1,18
2021,4,A,골목상권,2110321,동덕여대,66,2,NA,NA,NA,4,2,1,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,16
2021,4,A,골목상권,2110322,장위1동주민센터,72,3,1,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
2021,4,A,골목상권,2110323,상월곡역 1번,102,5,2,NA,NA,8,2,2,1,NA,12,NA,NA,NA,NA,NA,NA,NA,2,30
2021,4,A,골목상권,2110324,월곡역 4번,84,5,3,NA,NA,9,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,22
2021,4,A,골목상권,2110325,장곡초등학교,94,4,2,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
2021,4,A,골목상권,2110326,장위동성당,74,2,1,NA,NA,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
2021,4,A,골목상권,2110327,상월곡역 2번,57,4,1,NA,NA,4,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,18
2021,4,A,골목상권,2110328,상월곡역 3번,50,4,1,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,18
2021,4,A,골목상권,2110329,우리은행체육관,72,1,NA,NA,NA,9,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2021,4,A,골목상권,2110330,돌곶이역 1번,70,4,2,NA,NA,7,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,12
2021,4,A,골목상권,2110331,돌곶이역 8번,101,3,3,NA,NA,14,1,1,NA,NA,2,NA,1,NA,2,NA,NA,NA,1,17
2021,4,A,골목상권,2110332,돌곶이역 3번,75,3,1,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20
2021,4,A,골목상권,2110333,돌곶이역 5번,108,4,3,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,21
2021,4,A,골목상권,2110334,석관중앙교회,73,3,2,NA,NA,12,1,1,1,1,2,NA,NA,NA,2,NA,NA,NA,NA,16
