"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"A","골목상권",2110073,"삼각지역 3번",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","골목상권",2110070,"용산세무서",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","골목상권",2110076,"삼각지역 14번",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","골목상권",2110062,"한강로동땡땡거리(은행나무길)",26,4,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3
"D","발달상권",2120044,"삼각지역",30,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"D","발달상권",2120041,"신용산역(용산역)",90,8,11,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,16
