"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"A","골목상권",2110264,"면목역 2번",32,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,8
"A","골목상권",2110258,"면동초등학교",14,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A","골목상권",2110260,"면목역 3번",23,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,4
"A","골목상권",2110263,"면목역 1번",17,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3
"R","전통시장",2130111,"동원전통종합시장(동원시장 동원전통시장 상점가)",45,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5
