"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"A","골목상권",2110132,"성수2가3동주민센터",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A","골목상권",2110137,"성수초등학교",14,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"D","발달상권",2120052,"성수역",60,1,9,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9
"R","전통시장",2130071,"성수역 골목형상점가",3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
