기준_년_코드,기준_분기_코드,상권_코드,유사_업종_점포_수
2021,1,2110001,175
2021,1,2110002,198
2021,1,2110003,397
2021,1,2110004,419
2021,1,2110005,397
2021,1,2110006,117
2021,1,2110007,712
2021,1,2110008,1264
2021,1,2110009,191
2021,1,2110010,414
2021,1,2110011,78
2021,1,2110012,2161
2021,1,2110013,1128
2021,1,2110014,201
2021,1,2110015,588
2021,1,2110016,173
2021,1,2110017,748
2021,1,2110018,968
2021,1,2110019,1853
2021,1,2110020,487
2021,1,2110021,1119
2021,1,2110022,818
2021,1,2110023,553
2021,1,2110024,682
2021,1,2110025,884
2021,1,2110026,1137
2021,1,2110027,701
2021,1,2110028,1070
2021,1,2110029,2222
2021,1,2110030,1650
2021,1,2110031,307
2021,1,2110032,5643
2021,1,2110033,674
2021,1,2110034,5075
2021,1,2110035,1725
2021,1,2110036,1129
2021,1,2110037,947
2021,1,2110038,488
2021,1,2110039,3171
2021,1,2110040,797
2021,1,2110041,1074
2021,1,2110042,633
2021,1,2110043,1254
2021,1,2110044,784
2021,1,2110045,1630
2021,1,2110046,499
2021,1,2110047,995
2021,1,2110048,2485
2021,1,2110049,1201
2021,1,2110050,1000
2021,1,2110051,1337
2021,1,2110052,1125
2021,1,2110053,1328
2021,1,2110054,1165
2021,1,2110055,3273
2021,1,2110056,1889
2021,1,2110057,1208
2021,1,2110058,2546
2021,1,2110059,630
2021,1,2110060,1092
2021,1,2110061,700
2021,1,2110062,1234
2021,1,2110063,3029
2021,1,2110064,1057
2021,1,2110065,1828
2021,1,2110066,1067
2021,1,2110067,1557
2021,1,2110068,1933
2021,1,2110069,1634
2021,1,2110070,170
2021,1,2110071,323
2021,1,2110072,708
2021,1,2110073,769
2021,1,2110074,1365
2021,1,2110075,1673
2021,1,2110076,435
2021,1,2110077,674
2021,1,2110078,332
2021,1,2110079,1265
2021,1,2110080,638
2021,1,2110081,852
2021,1,2110082,1588
2021,1,2110083,142
2021,1,2110084,905
2021,1,2110085,1153
2021,1,2110086,2140
2021,1,2110087,1489
2021,1,2110088,683
2021,1,2110089,198
2021,1,2110090,731
2021,1,2110091,930
2021,1,2110092,927
2021,1,2110093,1866
2021,1,2110094,348
2021,1,2110095,1217
2021,1,2110096,210
2021,1,2110097,470
2021,1,2110098,504
2021,1,2110099,730
2021,1,2110100,245
2021,1,2110101,349
2021,1,2110102,565
2021,1,2110103,460
2021,1,2110104,847
2021,1,2110105,1060
2021,1,2110106,257
2021,1,2110107,732
2021,1,2110108,389
2021,1,2110109,546
2021,1,2110110,889
2021,1,2110111,183
2021,1,2110112,1064
2021,1,2110113,186
2021,1,2110114,875
2021,1,2110115,1576
2021,1,2110116,1422
2021,1,2110117,1345
2021,1,2110118,1149
2021,1,2110119,1181
2021,1,2110120,532
2021,1,2110121,673
2021,1,2110122,1058
2021,1,2110123,593
2021,1,2110124,997
2021,1,2110125,715
2021,1,2110126,994
2021,1,2110127,901
2021,1,2110128,1347
2021,1,2110129,967
2021,1,2110130,888
2021,1,2110131,2206
2021,1,2110132,832
2021,1,2110133,1508
2021,1,2110134,1244
2021,1,2110135,1099
2021,1,2110136,2416
2021,1,2110137,2159
2021,1,2110138,1032
2021,1,2110139,1125
2021,1,2110140,2455
2021,1,2110141,1657
2021,1,2110142,1716
2021,1,2110143,571
2021,1,2110144,1268
2021,1,2110145,762
2021,1,2110146,760
2021,1,2110147,1189
2021,1,2110148,791
2021,1,2110149,456
2021,1,2110150,1239
2021,1,2110151,949
2021,1,2110152,726
2021,1,2110153,1680
2021,1,2110154,1641
2021,1,2110155,1480
2021,1,2110156,1354
2021,1,2110157,910
2021,1,2110158,1355
2021,1,2110159,2410
2021,1,2110160,589
2021,1,2110161,1316
2021,1,2110162,1496
2021,1,2110163,819
2021,1,2110164,754
2021,1,2110165,1299
2021,1,2110166,1907
2021,1,2110167,1688
2021,1,2110168,542
2021,1,2110169,804
2021,1,2110170,1510
2021,1,2110171,760
2021,1,2110172,906
2021,1,2110173,1699
2021,1,2110174,1501
2021,1,2110175,1397
2021,1,2110176,979
2021,1,2110177,457
2021,1,2110178,387
2021,1,2110179,395
2021,1,2110180,560
2021,1,2110181,1598
2021,1,2110182,1106
2021,1,2110183,793
2021,1,2110184,949
2021,1,2110185,844
2021,1,2110186,612
2021,1,2110187,1168
2021,1,2110188,899
2021,1,2110189,1179
2021,1,2110190,1052
2021,1,2110191,684
2021,1,2110192,1568
2021,1,2110193,553
2021,1,2110194,1313
2021,1,2110195,2342
2021,1,2110196,476
2021,1,2110197,184
2021,1,2110198,1316
2021,1,2110199,1112
2021,1,2110200,776
2021,1,2110201,521
2021,1,2110202,529
2021,1,2110203,982
2021,1,2110204,876
2021,1,2110205,1314
2021,1,2110206,749
2021,1,2110207,957
2021,1,2110208,1081
2021,1,2110209,536
2021,1,2110210,1016
2021,1,2110211,1030
2021,1,2110212,1539
2021,1,2110213,914
2021,1,2110214,631
2021,1,2110215,860
2021,1,2110216,740
2021,1,2110217,1837
2021,1,2110218,1138
2021,1,2110219,953
2021,1,2110220,1149
2021,1,2110221,411
2021,1,2110222,372
2021,1,2110223,1521
2021,1,2110224,758
2021,1,2110225,1310
2021,1,2110226,2739
2021,1,2110227,1014
2021,1,2110228,1992
2021,1,2110229,1710
