Domain,testFac,houseH,Popul,Man,Woman,Kpopul,Kman,Kwoman,Fpopul,Fman,Fwoman,PPH,Old,Pdensity,Hn1,Hn2,Hn3,Hn4,Hn5,Hn6,Hn7,Station,OldFac,OldPer,OldPerP,Oldmana,OldMedic,OldMedicPer,OldmedicPerP,OldMedicmana,OldFam,OldFamPer,OldFamPerP,OldFammana,Mycar,car,van,lorry,specar,autoB
MaPo,3.00 ,177170.00 ,378216.00 ,177377.00 ,200839.00 ,368518.00 ,173624.00 ,194894.00 ,9698.00 ,3753.00 ,5945.00 ,2.08 ,53494.00 ,15878.00 ,63172.00 ,40569.00 ,29490.00 ,21726.00 ,4654.00 ,851.00 ,219.00 ,5.00 ,4.00 ,302.00 ,298.00 ,213.00 ,2.00 ,284.00 ,280.00 ,201.00 ,2.00 ,18.00 ,18.00 ,12.00 ,113633.00 ,100955.00 ,2906.00 ,9573.00 ,199.00 ,17615.00 
YangCheon,6.00 ,180682.00 ,456019.00 ,223450.00 ,232569.00 ,452677.00 ,222010.00 ,230667.00 ,3342.00 ,1440.00 ,1902.00 ,2.51 ,66231.00 ,25882.00 ,39436.00 ,43102.00 ,40503.00 ,34789.00 ,6743.00 ,1195.00 ,276.00 ,2.00 ,21.00 ,723.00 ,684.00 ,485.00 ,13.00 ,656.00 ,626.00 ,438.00 ,8.00 ,67.00 ,58.00 ,47.00 ,142489.00 ,127116.00 ,3518.00 ,11620.00 ,235.00 ,12974.00 
GangSeo,4.00 ,267442.00 ,582804.00 ,280942.00 ,301862.00 ,577320.00 ,278444.00 ,298876.00 ,5484.00 ,2498.00 ,2986.00 ,2.16 ,89377.00 ,13986.00 ,86172.00 ,65175.00 ,47721.00 ,35598.00 ,7673.00 ,1416.00 ,342.00 ,0.00 ,31.00 ,1122.00 ,1024.00 ,687.00 ,18.00 ,1017.00 ,933.00 ,619.00 ,13.00 ,105.00 ,91.00 ,68.00 ,187870.00 ,165787.00 ,4887.00 ,16860.00 ,336.00 ,18011.00 
Guro,5.00 ,180027.00 ,426675.00 ,212092.00 ,214583.00 ,401074.00 ,198034.00 ,203040.00 ,25601.00 ,14058.00 ,11543.00 ,2.23 ,70717.00 ,20933.00 ,50971.00 ,45518.00 ,34645.00 ,25747.00 ,5756.00 ,1160.00 ,286.00 ,4.00 ,17.00 ,973.00 ,802.00 ,539.00 ,10.00 ,913.00 ,751.00 ,499.00 ,7.00 ,60.00 ,51.00 ,40.00 ,132170.00 ,113101.00 ,4688.00 ,14106.00 ,275.00 ,14786.00 
GeumCheon,3.00 ,114402.00 ,244564.00 ,124300.00 ,120264.00 ,229844.00 ,116322.00 ,113522.00 ,14720.00 ,7978.00 ,6742.00 ,2.01 ,39781.00 ,18808.00 ,42334.00 ,26331.00 ,18226.00 ,12863.00 ,2913.00 ,592.00 ,173.00 ,0.00 ,25.00 ,703.00 ,651.00 ,466.00 ,12.00 ,586.00 ,537.00 ,384.00 ,13.00 ,117.00 ,114.00 ,82.00 ,83947.00 ,69933.00 ,3081.00 ,10797.00 ,136.00 ,11377.00 
YeongDeungPo,7.00 ,184133.00 ,403070.00 ,200380.00 ,202690.00 ,377590.00 ,186692.00 ,190898.00 ,25480.00 ,13688.00 ,11792.00 ,2.05 ,61197.00 ,16331.00 ,64000.00 ,40926.00 ,30371.00 ,21651.00 ,4321.00 ,916.00 ,206.00 ,3.00 ,18.00 ,260.00 ,241.00 ,190.00 ,1.00 ,118.00 ,116.00 ,87.00 ,17.00 ,142.00 ,125.00 ,103.00 ,136811.00 ,117058.00 ,4265.00 ,14930.00 ,558.00 ,17418.00 
DongJak,5.00 ,183579.00 ,398205.00 ,192187.00 ,206018.00 ,388730.00 ,188045.00 ,200685.00 ,9475.00 ,4142.00 ,5333.00 ,2.12 ,65396.00 ,24113.00 ,64101.00 ,41489.00 ,31918.00 ,23829.00 ,5153.00 ,1044.00 ,232.00 ,5.00 ,10.00 ,253.00 ,237.00 ,160.00 ,3.00 ,190.00 ,179.00 ,117.00 ,7.00 ,63.00 ,58.00 ,43.00 ,103182.00 ,93572.00 ,2586.00 ,6908.00 ,116.00 ,15428.00 
GwanAk,4.00 ,273736.00 ,504140.00 ,252400.00 ,251740.00 ,490352.00 ,246097.00 ,244255.00 ,13788.00 ,6303.00 ,7485.00 ,1.79 ,78400.00 ,16891.00 ,129233.00 ,56162.00 ,33671.00 ,23251.00 ,5263.00 ,1130.00 ,249.00 ,4.00 ,28.00 ,597.00 ,552.00 ,416.00 ,10.00 ,435.00 ,405.00 ,296.00 ,18.00 ,162.00 ,147.00 ,120.00 ,112169.00 ,99022.00 ,3534.00 ,9472.00 ,141.00 ,21232.00 
SeoCho,8.00 ,172181.00 ,425103.00 ,203489.00 ,221614.00 ,421315.00 ,201619.00 ,219696.00 ,3788.00 ,1870.00 ,1918.00 ,2.45 ,60209.00 ,8858.00 ,43942.00 ,38867.00 ,34840.00 ,30091.00 ,6593.00 ,1412.00 ,378.00 ,9.00 ,5.00 ,331.00 ,314.00 ,221.00 ,4.00 ,322.00 ,305.00 ,215.00 ,1.00 ,9.00 ,9.00 ,6.00 ,165339.00 ,150923.00 ,3313.00 ,10855.00 ,248.00 ,11466.00 
GangNam,7.00 ,233363.00 ,539538.00 ,258205.00 ,281333.00 ,534796.00 ,255880.00 ,278916.00 ,4742.00 ,2325.00 ,2417.00 ,2.29 ,75602.00 ,13616.00 ,68999.00 ,51531.00 ,42703.00 ,36286.00 ,7517.00 ,1436.00 ,361.00 ,13.00 ,7.00 ,241.00 ,89.00 ,69.00 ,4.00 ,215.00 ,63.00 ,48.00 ,3.00 ,26.00 ,26.00 ,21.00 ,218868.00 ,200576.00 ,4293.00 ,13722.00 ,277.00 ,15544.00 
SongPa,5.00 ,280237.00 ,667115.00 ,321658.00 ,345457.00 ,661411.00 ,319047.00 ,342364.00 ,5704.00 ,2611.00 ,3093.00 ,2.36 ,94145.00 ,19599.00 ,73694.00 ,66503.00 ,57189.00 ,46703.00 ,9457.00 ,1803.00 ,417.00 ,7.00 ,23.00 ,789.00 ,737.00 ,539.00 ,8.00 ,658.00 ,614.00 ,441.00 ,15.00 ,131.00 ,123.00 ,98.00 ,234533.00 ,204346.00 ,4576.00 ,25306.00 ,305.00 ,20279.00 
GangDong,6.00 ,199088.00 ,468815.00 ,230366.00 ,238449.00 ,464900.00 ,228609.00 ,236291.00 ,3915.00 ,1757.00 ,2158.00 ,2.34 ,71203.00 ,18970.00 ,50316.00 ,47740.00 ,39449.00 ,31456.00 ,6659.00 ,1242.00 ,286.00 ,0.00 ,24.00 ,639.00 ,503.00 ,349.00 ,8.00 ,495.00 ,372.00 ,258.00 ,16.00 ,144.00 ,131.00 ,91.00 ,143044.00 ,126760.00 ,3680.00 ,12437.00 ,167.00 ,17443.00 
